1 	0 	2.081576
2	0	3.342094
0	1	4.493409
3	0	4.514100
4	0	5.646704
1	1	5.940370
5	0	6.756456
2	1	7.289932
0	2	7.725252
6	0	7.851078
3	1	8.583755
7	0	8.934839
1	2	9.205840
4	1	9.840446
8	0	10.010371
2	2	10.613855
0	3	10.904122
5	1	11.070207
9	0	11.079418
3	2	11.972730
10	0	12.143204
6	1	12.279334
1	3	12.404445
11	0	13.202620
4	2	13.295564
7	1	13.472030
2	3	13.846112
0	4	14.066194
12	0	14.258341
5	2	14.590552
8	1	14.651263
3	3	15.244514
13	0	15.310887
1	4	15.579236
9	1	15.819216
6	2	15.863222
14	0	16.360674
4	3	16.609346
10	1	16.977550
2	4	17.042902
7	2	17.117506
0	5	17.220755
15	0	17.408034
5	3	17.947180
11	1	18.127564
8	2	18.356318
16	0	18.453241
3	4	18.468148
1	5	18.742646
6	3	19.262710
12	1	19.270294
17	0	19.496524
9	2	19.581889
4	4	19.862424
2	5	20.221857
0	6	20.371303
13	1	20.406581
18	0	20.538074
7	3	20.559428
10	2	20.795967
5	4	21.231068
14	1	21.537120
19	0	21.578053
3	5	21.666607
8	3	21.840012
1	6	21.899697
11	2	21.999955
6	4	22.578058
20	0	22.616601
15	1	22.662493
4	5	23.082796
9	3	23.106568
12	2	23.194996
2	6	23.390490
0	7	23.519453
21	0	23.653839
16	1	23.783192
7	4	23.906450
10	3	24.360789
13	2	24.360789
5	5	24.474825
22	0	24.689873
3	6	24.850085
17	1	24.899636
1	7	25.052825
8	4	25.218652
14	2	25.561873
11	3	25.604057
23	0	25.724794
6	5	25.846084
18	1	26.012188
4	6	26.283265
9	4	26.516603
2	7	26.552589
0	8	26.666054
15	2	26.735177
24	0	26.758685
12	3	26.837518
