c0000 89 15
c0002 75 21
c0003 80 27
c0005 73 21
c0007 57 25
c0011 61 28
c0012 78 26
c0013 62 23
c0015 54 24
c0016 54 24
c0021 92 17
c0024 55 22
c0026 54 27
c0027 63 19
c0028 61 22
c0029 57 22
c0034 59 19
c0035 60 28
c0038 63 27
c0039 55 25
c0040 56 26
c0041 56 26
c0042 56 22
c0045 89 27
c0046 70 24
c0051 58 28
c0052 61 27
c0053 62 25
c0058 60 26
c0060 61 20
c0062 60 23
c0063 77 20
c0064 80 25
c0065 61 24
c0067 81 30
c0068 65 22
c0069 81 27
c0072 93 18
c0077 72 22
c0082 63 26
c0083 64 30
c0084 57 30
c0088 62 24
c0092 81 22
c0098 82 30
c0102 63 22
c0116 69 18
c0117 67 23
c0118 59 24
c0120 50 28
c0121 58 30
c0122 50 30
c0125 51 28
c0127 80 26
c0129 59 23
c0145 54 24
c0146 73 26
c0152 48 29
c0166 77 26
c0172 64 23
c0177 71 27
c0182 76 26
c0189 64 28
c0195 61 27
c0198 68 21
c0199 66 29
c0202 62 29
c0273 46 30
c0280 56 30
c0282 50 28
c0285 48 30
c0292 77 30
c0296 54 27
c0347 60 27
c0409 73 30
